pincode,locality_most_common_city,center,meditator_count
530063,Bengaluru,Koramangala,1
534002,Eluru,Hebbal,1
538103,Bellary,Malleswaram,1
540054,Bengaluru ,Malleswaram,1
540064,Bangalore,Hebbal,1
55,Bangalore,Malleswaram,1
550022,Bengaluru,Malleswaram,1
550037,Bangalore,Marathahalli,1
550043,Bengaluru ,Banaswadi,1
550043,Bangalore,Indiranagar,1
550066,Bangalore,Whitefield,1
550067,Bangalore,Marathahalli,1
550075,Bangalore,Hebbal,1
550087,BLANK,Marathahalli,1
550091,Bengaluri,Vijayanagar,1
5560078,Bangalore,Bannerghatta Road,1
556114,Bengaluru,Electronic City,1
560 008,Bangalore,Indiranagar,1
560 040,Bengaluru,Vijayanagar,1
56000,Bangalore,Koramangala,1
560000,BLANK,Indiranagar,1
560000,Bangalore ,Malleswaram,1
560000,Bangalore,Vijayanagar,1
5600001,Bangalore,Indiranagar,1
5600004,Bangalore,Jayanagar,1
5600008,BANGALORE,Indiranagar,2
560001,Bangalore District,Electronic City,1
560001,Bangalore,Indiranagar,402
560002,Bangalore,Jayanagar,99
560003,Bangalore,Malleswaram,806
560004,Bengaluru,Indiranagar,1
560004,Bangalore,Jayanagar,686
5600040,BENGALURU,Vijayanagar,1
5600043,Banaswadi. Bangalore,Banaswadi,2
5600048,Bangalore,Indiranagar,1
5600049,Bangalore,Banaswadi,1
560005,Bangalore,Banaswadi,321
5600056,Bangalore,Banaswadi,1
560006,Bangalore,Hebbal,72
560006,Bengaluru,Malleswaram,1
560007,Bangalore,Indiranagar,34
5600072,Bangalore,Vijayanagar,1
5600075,Bangalore,Indiranagar,2
5600076,Bangalore,Banaswadi,1
5600076,Bangalore,Bannerghatta Road,1
560008,Bangalore,Indiranagar,911
560009,Bengaluru,Malleswaram,49
5600091,Bangalore,Malleswaram,1
5600093,BANGALORE,Indiranagar,1
5600095,Bangalore,Jayanagar,1
56001,Bangalore,Indiranagar,1
560010,Bengaluru,Koramangala,1
560010,Bangalore,Malleswaram,931
560010,Bangalore North,Vijayanagar,1
5600103,BANGALORE,Indiranagar,1
5600103,BANGALORE,Koramangala,1
560011,Bangalore,Jayanagar,548
560012,Bangalore,Malleswaram,98
560013,Bangalore,Hebbal,2
560013,Bangalore,Malleswaram,357
560014,Bengaluru,Hebbal,2
560014,Bangalore,Malleswaram,40
560015,BLANK,Hebbal,1
560015,Bangalore,Malleswaram,178
560016,Bangalore,Banaswadi,1617
560016,Bangalore District,Hebbal,1
560017,Bangalore,Hebbal,1
560017,Bangalore,Indiranagar,770
560018,Bangalore,Jayanagar,193
560019,Bangalore,Jayanagar,288
560019Home,Bengaluru,Jayanagar,1
560020,Bangalore,Malleswaram,183
560021,Bangalore,Malleswaram,437
560022,Bangalore,Malleswaram,442
560023,Bengaluru,Malleswaram,1
560023,Bangalore,Vijayanagar,311
560024,Bangalore,Hebbal,836
560024,Bengaluru,Malleswaram,1
560025,Bangalore,Banaswadi,171
560025,BLANK,Indiranagar,1
560026,Bangalore,Girinagar,1
560026,Bangalore,Vijayanagar,234
560027,Bangalore,Jayanagar,324
560028,BLANK,Girinagar,1
560028,Bangalore,Jayanagar,190
560029,Bangalore,Koramangala,534
560029,Bangalore,Malleswaram,1
560029,Bengaluru,Whitefield,1
56003,Bangalore,Hebbal,1
560030,"Adugodi, Bangalore",Bannerghatta Road,1
560030,Bangalore,Koramangala,249
560030,Bengaluru Urban,Malleswaram,1
560031,Bangalore,Malleswaram,9
560032,Bangalore,Hebbal,1044
560033,Bangalore,Banaswadi,270
560034,Bangalore South,Electronic City,2
560034,Bangalore,Koramangala,982
560035,Bengaluru,Indiranagar,1
560035,Bengaluru,Koramangala,1542
560036,Bengaluru,Budigere Cross,925
560036,BLANK,Hebbal,1
560036,Bangalore North,Indiranagar,1
560036,BLANK,Whitefield,1
560037,Bengaluru,Banaswadi,1
560037,Bangalore North,Bannerghatta Road,1
560037,Bengaluru,Hebbal,1
560037,Bengaluru,Indiranagar,3
560037,Bangalore North,Koramangala,1
560037,Bangalore,Marathahalli,3327
560037,Bangalore,Vijayanagar,1
560038,Bangalore ,Banaswadi,1
560038,Bangalore,Indiranagar,719
560039,"Nayandahalli, Bangalore",Hebbal,1
560039,Bengaluru,Vijayanagar,140
560040,Bangalore,Vijayanagar,1373
560041,Bangalore,Jayanagar,498
560041,Bengaluru,Koramangala,1
560042,Bangalore,Indiranagar,203
560043,Bangalore,Banaswadi,2709
560043,Bengaluru,Bannerghatta Road,1
560043,Bangalore District,Indiranagar,4
560044,Bengaluru ,Banaswadi,1
560044,Banglore,Hebbal,2
560044,Bangalore,Malleswaram,2
560044,Bangaluru,Marathahalli,1
560044,Bangalore,Vijayanagar,1
560045,Bangalore,Hebbal,379
560046,Bangalore,Banaswadi,140
560047,Bangalore,Banaswadi,501
560047,Bengaluru,Koramangala,3
560048,Bangalore Rural,Hebbal,1
560048,Bangalore North,Indiranagar,1
560048,Bengaluru,Koramangala,1
560048,Bangalore,Marathahalli,1457
560048,Bangalore,Whitefield,1
560049,Bangalore District,Bangalore Rural,1
560049,Bengaluru,Budigere Cross,1009
560049,Bangalore North,Indiranagar,3
560049,Bengaluru,Koramangala,1
560049,"Bhattarahalli, Bangalore",Whitefield,1
560050,Bangalore,Girinagar,516
560051,Bangalore,Banaswadi,47
560051,Bengaluru,Vijayanagar,1
560052,Bangalore,Malleswaram,117
560053,Bangalore,Jayanagar,78
560053,Bangalore,Malleswaram,1
560054,Bangalore,Malleswaram,606
560055,Bangalore,Malleswaram,326
560056,BLANK,Hebbal,1
560056,Bengaluru,Vijayanagar,529
560057,Bangalore,Hebbal,2
560057,Bengaluru,Vijayanagar,259
560058,Bangalore,Malleswaram,252
560058,Bangalore,Vijayanagar,1
560059,Bengaluru,Vijayanagar,202
560060,Bengaluru,Vijayanagar,717
560061,Bangalore,Bannerghatta Road,2
560061,Bengaluru,Electronic City,1
560061,BLANK,Indiranagar,1
560061,Bangalore,Jayanagar,4
560061,"Subramanyapura, Bangalore",Malleswaram,1
560062,Bangalore,Bannerghatta Road,10
560062,Bengaluru,Electronic City,1
560062,"Doddakallasandra, Bangalore",Jayanagar,1
560063,Bangalore,Hebbal,116
560064,Bengaluru,Hebbal,2323
560064,Bangalore,Indiranagar,1
560065,Bangalore,Hebbal,229
560066,Bangalore,Whitefield,2399
560067,Bengaluru,Bannerghatta Road,1
560067,Bangalore South,Indiranagar,3
560067,Bengaluru,Marathahalli,1294
560067,Bengaluru,Whitefield,3
560068,Bengaluru,Bannerghatta Road,12
560068,Bangalore,Electronic City,2576
560068,Bengaluru,Koramangala,1
560069,Bangalore,Jayanagar,169
560070,Bangalore,Girinagar,948
560070,Bangalore South,Jayanagar,2
560071,Bangalore,Indiranagar,367
560072,Bengaluru,Indiranagar,1
560072,Bangalore,Vijayanagar,1032
5600722,BENGALURU,Vijayanagar,1
560073,Bengaluru,Hebbal,1
560073,Bengaluru,Malleswaram,564
560074,Bengaluru,Vijayanagar,85
560075,Bangalore,Indiranagar,1047
560075,Bengaluru,Vijayanagar,1
560076,Bangalore,Bannerghatta Road,3595
560076,Bengaluru,Electronic City,1
560076,Bangalore,Koramangala,1
560077,"Dr. Shivarama Karanth Nagar, Bangalore",Banaswadi,1
560077,Bengaluru,Hebbal,1007
560077,Bengaluru,Malleswaram,1
560078,Bangalore,Bannerghatta Road,2938
560078,"J P Nagar, Bangalore",Jayanagar,1
560079,"Basaveshwaranagar, Bangalore",Bannerghatta Road,1
560079,Banglore,Electronic City,1
560079,Bangalore,Vijayanagar,1027
56008,Bangalore,Indiranagar,1
560080,"Sadashivanagar, Bangalore",Hebbal,1
560080,Bangalore,Malleswaram,138
560081,Bangalore,Electronic City,46
560082,Bengaluru,Bangalore Rural,1
560082,Bengaluru,Bannerghatta Road,1
560082,Bangalore,Jayanagar,1
560083,Bangalore,Bannerghatta Road,530
560084,Bangalore,Banaswadi,357
560084,Bengaluru,Indiranagar,2
560085,Bangalore,Girinagar,1486
560085,Bangalore,Jayanagar,9
560085,Bangalore South,Vijayanagar,1
560086,Bengaluru,Hebbal,1
560086,Bangalore,Malleswaram,524
560086,Bangalore District,Vijayanagar,1
560087,Bengaluru,Marathahalli,913
560088,Bangalore,Bangalore Rural,21
560089,Bangalore,Bangalore Rural,36
560090,Bengaluru,Bangalore Rural,240
560091,Bangalore,Jayanagar,1
560091,Bangalore District,Malleswaram,1
560091,Bengaluru,Vijayanagar,712
560092,Bangalore,Hebbal,979
560093,Bangalore,Indiranagar,945
560094,Bangalore,Hebbal,1085
560094,Bangalore,Malleswaram,1
560095,Bangalore,Koramangala,341
560096,Bangalore,Malleswaram,320
560097,Bangalore,Hebbal,1486
560098,Bangalore South,Bangalore Rural,1
560098,Bangalore,Vijayanagar,1162
560099,Bengaluru,Electronic City,658
560099,Bengaluru,Koramangala,1
560099,Bengaluru,Vijayanagar,1
560100,Bangalore,Bannerghatta Road,2
560100,Bengaluru,Electronic City,2372
560100,Bengaluru,Marathahalli,1
560100,Bengaluru,Whitefield,1
5601003,Bangalore,Koramangala,1
560100UI,Bangalore,Electronic City,1
560101,Bangalore,Koramangala,1
5601013,Bangalore,Marathahalli,1
560102,Bengaluru,Banaswadi,1
560102,"HSR Layout, Bangalore",Electronic City,1
560102,Bengaluru,Indiranagar,1
560102,Bangalore,Koramangala,2100
560103,Bengaluru,Indiranagar,1
560103,Bangalore,Koramangala,1605
560104,Bengaluru,Vijayanagar,172
560105,Bengaluru,Bannerghatta Road,205
560105,Bangalore,Electronic City,2
560106,Bangalore,Hebbal,20
560107,Bangalore,Bangalore Rural,17
560108,Bengaluru,Bannerghatta Road,114
560109,Bengaluru,Jayanagar,1
560110,Bengaluru,Vijayanagar,32
560111,BLANK,Bannerghatta Road,42
560112,Bengaluru,Bangalore Rural,3
560113,BLANK,Hebbal,14
560114,BLANK,Electronic City,57
560115,Bangalore,Budigere Cross,18
560116,Belagum,Bangalore Rural,1
560117,Bengaluru,Whitefield,7
560119,Bengaluru,Hebbal,2
560123,Bangalore,Malleswaram,1
560140,Bangalore,Vijayanagar,1
560183,Bengaluru,Bannerghatta Road,1
560192,BLANK,Electronic City,1
560201,BENGALURU,Electronic City,1
560201,Bangalore,Koramangala,1
560266,Bangalore,Whitefield,1
560300,Bangalore,Hebbal,1
56038,Bangalore,Indiranagar,1
560560,Bangalore,Vijayanagar,1
560640,Bangalore,Vijayanagar,1
560648,Bangalore,Marathahalli,1
56066,Bangalore,Whitefield,1
560666,BLANK,Whitefield,1
56077,Banglore,Hebbal,1
56078,bangalore,Bannerghatta Road,1
560826,BLANK,Jayanagar,1
56086,Bangalore,Malleswaram,1
560910,Bengaluru,Bangalore Rural,1
560929,Bengaluru,Koramangala,1
560966,Bangalore,Whitefield,1
560973,BLANK,Malleswaram,2
560977,BLANK,Marathahalli,1
560987,Bengaluru,Marathahalli,1
56100,Bangalore,Bannerghatta Road,1
56103,Bangalore,Koramangala,1
561123,BLANK,Malleswaram,1
561203,Bengaluru,Bangalore Rural,261
561203,Bengaluru,Hebbal,1
561204,Bengaluru,Bangalore Rural,9
561205,Bangalore Rural District,Bangalore Rural,8
562016,BENGALURU,Electronic City,1
56210,BANGALORE,Marathahalli,1
562101,Nandi,Malleswaram,1
562106,Bengaluru,Electronic City,209
562107,Bengaluru,Electronic City,198
562110,Devanahalli ,Bangalore Rural,1
562110,Devanahalli,Indiranagar,1
562111,Dobaspet Industrial Area,Bangalore Rural,10
562114,Bangalore,Bangalore Rural,2
562114,Hoskote,Budigere Cross,167
562122,Bangalore Rural District,Bangalore Rural,6
562123,Bengaluru,Bangalore Rural,199
562123,"Arasinakunte, Bangalore Rural",Malleswaram,2
562124,Hoskote,Budigere Cross,1
562125,Bengaluru,Koramangala,505
562129,Bengaluru,Bangalore Rural,17
562130,Bengaluru,Bangalore Rural,80
562132,Dobaspet Industrial Area,Bangalore Rural,5
562135,Vijayapura,Bangalore Rural,39
562149,Bengaluru,Bangalore Rural,126
562149,BLANK,Koramangala,1
562157,Bengaluru,Bangalore Rural,136
562157,Bangalore North,Koramangala,1
562162,BLANK,Bangalore Rural,43
562163,Doddaballapura Apparel Park,Bangalore Rural,27
562164,Bangalore Rural District,Bangalore Rural,5
562165,Bangalore,Bangalore Rural,1
562170,Bangalore,Bangalore Rural,1
562214,Bangalore,Budigere Cross,1
562321,Bengaluru,Bangalore Rural,1
563030,Bengaluru,Jayanagar,1
564000,Bangalore,Jayanagar,1
564004,Bengaluru,Banaswadi,1
5650076,BANGALORE,Bannerghatta Road,1
566010,Bengaluru,Malleswaram,1
566017,Bangalore,Indiranagar,1
566036,BLANK,Budigere Cross,1
566062,BLANK,Bannerghatta Road,1
566066,Bangalore,Electronic City,1
566066,Bangalore,Whitefield,5
566068,Bangalore,Electronic City,2
566070,Bangalore,Girinagar,1
566071,Bangalore,Whitefield,1
566076,BANGALORE,Whitefield,1
566097,Bangalore,Hebbal,1
567224,BLANK,Budigere Cross,1
568001,BLANK,Indiranagar,1
568037,Bengaluru,Marathahalli,1
569010,Bangalore ,Vijayanagar,1
569032,Bengaluru,Hebbal,1
569054,Bangalore,Malleswaram,1
569056,Bangalore,Vijayanagar,2
569070,Bangalore,Girinagar,1
569072,Bengalore,Vijayanagar,1
569083,Bangalore,Bannerghatta Road,1
569935,BLANK,Koramangala,1
569983,Bangalore,Bannerghatta Road,1
56oo17,Bengaluru,Bannerghatta Road,1
56oo76,Kodichikkanahalli,Vijayanagar,1
56””87,bangalore,Marathahalli,1
570008,Mysuru,Malleswaram,1
570013,Mysore,Vijayanagar,1
570017,BLANK,Indiranagar,1
570021,Bangalore ,Malleswaram,1
570024,Mysore,Bannerghatta Road,1
570024,Mysore,Indiranagar,1
570038,Bangalore,Indiranagar,1
570040,Bangalore,Vijayanagar,1
570048,Bangalore ,Marathahalli,1
570050,Bengaluru,Girinagar,1
570056,Bangalore,Bannerghatta Road,1
570058,Bangalore,Bannerghatta Road,1
570058,Bangalore,Malleswaram,1
570059,Bangalore ,Vijayanagar,1
570067,BLANK,Budigere Cross,1
570067,Bangalore,Marathahalli,1
570070,Bengaluru,Jayanagar,1
570075,Bangalore,Indiranagar,1
570076,Banglore,Bannerghatta Road,3
570078,Bangalore,Bannerghatta Road,1
570078,Bangalore,Jayanagar,1
570078,Bengaluru,Koramangala,1
570079,Bangalore,Vijayanagar,1
570085,Bangalore,Girinagar,2
570091,Bangalore,Malleswaram,1
570093,Bengaluru,Indiranagar,1
570102,Bangalore,Koramangala,1
570103,Bangss as lore,Koramangala,1
570104,Bengaluru,Vijayanagar,1
573201,BLANK,Bannerghatta Road,1
573218,BLANK,Malleswaram,1
574324,Dakshina Kannada District,Hebbal,1
575006,Dakshina Kannada,Electronic City,1
576001,Bangalore,Malleswaram,1
576104,UDUPI,Koramangala,1
577005,Davanagere,Koramangala,1
577140,BLANK,Hebbal,1
577201,Shivamogga,Koramangala,1
577233,Shivamogga,Vijayanagar,1
577415,BLANK,Vijayanagar,1
58,Bangalore,Bangalore Rural,1
580003,Bengalore,Malleswaram,1
580035,Hubballi,Hebbal,1
580036,BLANK,Budigere Cross,1
580062,Bengaluru,Bannerghatta Road,1
580068,Bangalore,Marathahalli,1
580076,Bangalore,Bannerghatta Road,1
580100,Bangalore,Electronic City,2
58100,Kl,Vijayanagar,1
581110,Haveri,Jayanagar,1
583115,Bellary District,Bannerghatta Road,1
584128,Sindhanur,Malleswaram,1
586101,Vijayapura,Hebbal,1
586128,Sindagi,Banaswadi,1
586283,BLANK,Whitefield,1
590008,Belgaum,Indiranagar,1
590066,Bangalore,Whitefield,1
590098,Bangalore,Vijayanagar,1
60000,Kl,Vijayanagar,1
600040,Chennai,Marathahalli,1
600077,Chennai,Electronic City,1
600077,Chennai,Malleswaram,1
600116,Chennai,Hebbal,1
600127,Chennai,Bangalore Rural,1
60064,Bangalore,Hebbal,1
60072,BANGALORE,Vijayanagar,1
605103,Villupuram,Whitefield,1
620068,bangalore,Koramangala,1
628305,Bangalore Rural,Indiranagar,1
637407,BLANK,Hebbal,1
638314,Olagadam,Bannerghatta Road,1
64104u,Coimbatore,Koramangala,1
641114,Coimbatore District,Bannerghatta Road,1
641114,Coimbatore District,Marathahalli,1
641114,COIMBATORE,Whitefield,1
642128,Udumalaipettai,Hebbal,1
650053,Bangalore,Koramangala,1
650072,BLANK,Vijayanagar,1
673314,Malappuram,Bannerghatta Road,1
680301,"Pudukad, Thrissur",Electronic City,1
680602,Chennai,Indiranagar,1
680661,Thrissur,Electronic City,1
685573,BLANK,Whitefield,1
695001,Thiruvananthapuram,Malleswaram,1
695002,Thiruvananthapuram,Hebbal,1
695003,Thiruvananthapuram,Indiranagar,1
695004,Thiruvananthapuram,Indiranagar,1
695011,Thiruvananthapuram,Koramangala,1
695011,Thiruvananthapuram,Malleswaram,1
695030,Trivandrum,Vijayanagar,1
695036,trivandrum,Bannerghatta Road,1
695524,Kanjiramkulam,Hebbal,1
700010,calcutta,Whitefield,1
700015,KOLKATA,Marathahalli,1
700078,Kolkata,Whitefield,1
70450,BLANK,Vijayanagar,1
744102,BLANK,Hebbal,1
744102,Port Blair,Whitefield,1
744103,South Andaman,Vijayanagar,1
744206,South Andaman District,Bangalore Rural,1
75024-6894,PLANO,Marathahalli,1
76,Bangalore,Bannerghatta Road,1
760103,Bangalore,Koramangala,1
800014,"B.V. College, Patna",Koramangala,1
800057,BLANK,Marathahalli,1
834001,Ranchi,Marathahalli,1
834004,Ranchi,Bannerghatta Road,1
845303,Ghorasahan,Bannerghatta Road,1
872216,BLANK,Indiranagar,1
8867630084,BANGALORE,Whitefield,1
92544,Hemet,Budigere Cross,1
960064,Bengaluru,Hebbal,1
960097,Bengaluru,Hebbal,1
9611868776,Bengaluru,Marathahalli,1
9663370130,Bangalore,Jayanagar,1
Bangalore,Bangalore,Whitefield,1
G1K2Z2,Québec,Malleswaram,1
HX30TQ,Halifax,Koramangala,1
INDIA,Bangalore,Banaswadi,1
INDIA,Bangalore,Jayanagar,1
India,Bengaluru,Koramangala,1
Karnataka,Bangalore,Banaswadi,1
XXXXXX,BANGALORE,Banaswadi,1
XXXXXX,BANGALORE,Bannerghatta Road,1
