pincode,center,potential_meditator_count,source_field_status
560000,Girinagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
5600001,Indiranagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560001,Indiranagar,5269,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560002,Jayanagar,2437,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560003,Malleswaram,5806,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
5600035,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560004,Jayanagar,5160,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560005,Banaswadi,2374,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560006,Hebbal,720,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560007,Indiranagar,312,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560008,Indiranagar,6349,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560009,Malleswaram,740,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560010,Malleswaram,10332,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560011,Jayanagar,3687,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560012,Malleswaram,653,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560013,Hebbal,2,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560013,Malleswaram,2666,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560014,Malleswaram,411,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560015,Malleswaram,1842,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560016,Banaswadi,13465,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560017,Indiranagar,4822,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560018,Jayanagar,2969,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560019,Jayanagar,3013,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560019,Malleswaram,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560020,Malleswaram,1806,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560021,Malleswaram,6769,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560022,Malleswaram,4612,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560023,Vijayanagar,4634,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560024,Hebbal,5562,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560024 ,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560025,Banaswadi,1310,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560026,Vijayanagar,4144,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560027,Jayanagar,3728,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560028,Jayanagar,1279,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560029,Koramangala,5630,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560030,Koramangala,3210,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560031,Malleswaram,56,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560032,Hebbal,9360,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560033,Banaswadi,3037,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560034,Koramangala,5035,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560035,Koramangala,9024,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560035 ,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560036,Indiranagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560036,Budigere Cross,10640,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560037,Marathahalli,23687,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560038,Indiranagar,4122,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560039,Vijayanagar,1494,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560040,Vijayanagar,11208,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560041,Jayanagar,3049,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560042,Indiranagar,1281,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560043,Banaswadi,17301,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560044,Banaswadi,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560045,Hebbal,4155,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560046,Banaswadi,1089,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560047,Banaswadi,5119,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560048,Marathahalli,9090,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560048 ,Marathahalli,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560049,Indiranagar,3,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560049,Budigere Cross,8480,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560050,Jayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560050,Girinagar,6076,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560051,Banaswadi,481,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560052,Malleswaram,487,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560053,Jayanagar,2333,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560054,Malleswaram,6030,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560055,Malleswaram,1568,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560056,Vijayanagar,7790,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560057,Vijayanagar,4687,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560057 ,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560058,Malleswaram,6740,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560059,Vijayanagar,2082,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560060,Vijayanagar,7964,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560061,Jayanagar,5,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560062,Bannerghatta Road,3,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560063,Hebbal,1844,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560064,Hebbal,20668,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560065,Hebbal,2043,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560066,Whitefield,15937,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560067,Marathahalli,10625,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560068,Electronic City,23634,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560068 ,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560069,Jayanagar,825,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560070,Jayanagar,4,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560070,Girinagar,7071,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560071,Indiranagar,1948,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560072,Vijayanagar,10315,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560073,Banaswadi,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560073,Malleswaram,7911,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560073,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560074,Vijayanagar,1197,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560075,Indiranagar,6195,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560076,Bannerghatta Road,23890,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560076,Bangalore Rural,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560077,Hebbal,7201,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560078,Bannerghatta Road,22007,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560078,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560079,Vijayanagar,11163,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560080,Malleswaram,734,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560081,Electronic City,326,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560082,Jayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560082,Bangalore Rural,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560083,Bannerghatta Road,4904,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560084,Banaswadi,2760,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560085,Jayanagar,5,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560085,Girinagar,13482,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560086,Malleswaram,5707,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560087,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560087,Marathahalli,6933,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560088,Bangalore Rural,318,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560089,Bangalore Rural,636,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560090,Bangalore Rural,4234,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560091,Vijayanagar,12179,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560092,Hebbal,6614,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560093,Indiranagar,5294,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560094,Hebbal,6902,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560095,Koramangala,2730,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560096,Malleswaram,4198,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560097,Hebbal,12306,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560098,Vijayanagar,9681,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560099,Electronic City,6981,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560100,Electronic City,20604,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560101,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560101,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560102,Koramangala,11352,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560103,Koramangala,9931,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560103,Whitefield,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560104,Vijayanagar,1479,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560105,Bannerghatta Road,3254,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560106,Hebbal,70,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560107,Bangalore Rural,476,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560108,Bannerghatta Road,796,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
56010o,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560110,Vijayanagar,523,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560111,Bannerghatta Road,227,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560112,Bangalore Rural,50,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560113,Hebbal,88,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560114,Electronic City,203,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560115,Budigere Cross,79,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560116,Bangalore Rural,25,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560117,Whitefield,27,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560119,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560119,Hebbal,4,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560123,Bangalore Rural,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560163,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560206,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560300,Hebbal,170,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560801,Bannerghatta Road,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560864,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560867,Marathahalli,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560916,Banaswadi,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560927,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560944,Banaswadi,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560949,Budigere Cross,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560955,Malleswaram,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560966,Marathahalli,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560967,Marathahalli,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560968,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560984,Banaswadi,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560998,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560o42,Indiranagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
560o68,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
561002,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
561023,Bangalore Rural,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
561123,Bangalore Rural,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
561203,Bangalore Rural,5204,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
561204,Bangalore Rural,320,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
561205,Bangalore Rural,259,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
561249,Bangalore Rural,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562106,Electronic City,3196,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562106,Bangalore Rural,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562107,Electronic City,2799,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562111,Bangalore Rural,652,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562114,Budigere Cross,10647,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562122,Bangalore Rural,538,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562123,Bangalore Rural,4151,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562124,Bangalore Rural,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562125,Koramangala,3894,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562125,Malleswaram,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562129,Bangalore Rural,682,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562130,Bangalore Rural,1220,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562132,Bangalore Rural,258,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562135,Bangalore Rural,1140,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562137,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562149,Bangalore Rural,1248,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562157,Bangalore Rural,2193,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562162,Bangalore Rural,1267,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562163,Bangalore Rural,271,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562164,Bangalore Rural,83,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562165,Indiranagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562165,Bangalore Rural,2,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562166,Electronic City,2,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562166,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562166,Malleswaram,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
562169,Marathahalli,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
563107,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
563122,Bangalore Rural,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
565407,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
566001,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
566006,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
566007,Bannerghatta Road,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
566024,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
566064,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
566066,Whitefield,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
566077,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
56667,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
569102,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
569967,Marathahalli,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
56oo37,Marathahalli,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
56oo68,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
56oo92,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570024,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570026,Marathahalli,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570037,Banaswadi,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570040,Banaswadi,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570043,Banaswadi,3,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570047,Budigere Cross,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570053,Jayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570054,Malleswaram,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570063,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570064,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570072,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570076,Bannerghatta Road,6,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570078,Bannerghatta Road,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570079,Banaswadi,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570079,Malleswaram,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570096,Malleswaram,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570100,Bannerghatta Road,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570100,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570104,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
570741,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
572061,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
573470,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
574156,Banaswadi,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
574312,Indiranagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
575027,Bannerghatta Road,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
580033,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
580037,Vijayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
580062,Bannerghatta Road,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
580064,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
580067,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
580075,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
580078,Bannerghatta Road,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
581255,Budigere Cross,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
582055,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
583202,Bannerghatta Road,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
586297,Whitefield,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
588104,Malleswaram,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
590094,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
592105,Electronic City,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
631036,Marathahalli,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
637002,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
641994,Indiranagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
650035,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
650050,Marathahalli,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
650050,Girinagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
650067,Marathahalli,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
660084,Bannerghatta Road,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
695009,Koramangala,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
744101,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
744103,Indiranagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
75063,Bannerghatta Road,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
752081,Bangalore Rural,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
8971959471,Banaswadi,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
910092,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
960011,Jayanagar,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
960064,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
960097,Hebbal,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
BLANK,Banaswadi,4,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
BLANK,Bannerghatta Road,1,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
BLANK,Hebbal,6,"source/stage field not available - datasource, source, other_source all 100% blank for this population"
